Taxon,Family,Subfamily,Scientific Name,Genes,12S,16S,BDNF,CXCR4,cytb,H3A,NCX1,ND1,ND2,POMC,RAG1,RHOD,SIA,SLC8A3,TYR
Anura,Batrachylidae,Batrachylinae,Atelognathus salai,0,,,,,,,,,,,,,,,
Anura,Batrachylidae,Batrachylinae,Atelognathus solitarius,0,,,,,,,,,,,,,,,
Anura,Batrachylidae,Batrachylinae,Batrachyla antartandica,2,DQ864529,DQ864548,,,,,,,,,,,,,
Anura,Batrachylidae,Batrachylinae,Batrachyla fitzroya,0,,,,,,,,,,,,,,,
Anura,Batrachylidae,Batrachylinae,Batrachyla leptopus,9,AY843572,AY843572,,,AY843794,DQ284119,,JX204029,,,AY844369,AY844546,AY844774,,AY844028
Anura,Batrachylidae,Batrachylinae,Batrachyla nibaldoi,0,,,,,,,,,,,,,,,
Anura,Batrachylidae,Batrachylinae,Batrachyla taeniata,5,FJ882752,FJ882753,,,KC603962,,,,FJ882753,KC604075,,,,,
Anura,Batrachylidae,Batrachylinae,Chaltenobatrachus grandisonae,0,,,,,,,,,,,,,,,
Anura,Batrachylidae,Batrachylinae,Hylorina sylvatica,2,JX204222,JX204222,,,,,,,,,,,,,
Anura,Bombinatoridae,Bombinatorinae,Barbourula busuangensis,5,HM769265,HM769265,,HM769267,,,HM769271,,,,,,,HM769274,
Anura,Bombinatoridae,Bombinatorinae,Barbourula kalimantanensis,6,HM769263,HM769263,,HM769266,HM778131,,HM769269,,,,,,,HM769272,
Anura,Bombinatoridae,Bombinatorinae,Bombina bombina,9,AY333663,DQ283250,,,EF212589,DQ284275,JF898445,JX893173,JX893173,,JF898464,DQ283920,,,
Anura,Bombinatoridae,Bombinatorinae,Bombina fortinuptialis,6,DQ925757,DQ925779,,,EU531279,,,NC_006402,NC_006402,,KC165589,,,,
Anura,Bombinatoridae,Bombinatorinae,Bombina lichuanensis,5,DQ925745,DQ925766,,,EU531244,,,NC_021477,NC_021477,,,,,,
Anura,Bombinatoridae,Bombinatorinae,Bombina maxima,5,DQ925758,DQ925780,,,EU531274,,,JX893181,JX893181,,,,,,
Anura,Bombinatoridae,Bombinatorinae,Bombina microdeladigitora,8,DQ925756,DQ925778,,,EU531281,DQ284389,,NC_021476,NC_021476,,,DQ284017,DQ282865,,
Anura,Bombinatoridae,Bombinatorinae,Bombina orientalis,13,DQ925753,DQ925775,EF453367,AY364177,EU531278,HM998943,JF898463,NC_006689,NC_006689,AY692246,AY323756,HM998984,,AY948867,
Anura,Bombinatoridae,Bombinatorinae,Bombina pachypus,3,EU531353,AY500228,,,EU531283,,,,,,,,,,
Anura,Bombinatoridae,Bombinatorinae,Bombina variegata,11,AY333688,AY333725,,AY523693,EU531284,DQ284274,JF898461,NC_009258,NC_009258,,AY523750,DQ283919,,EF107347,
Anura,Brachycephalidae,Brachycephalinae,Brachycephalus alipioi,5,HQ435676,HQ435690,,,HQ435703,,,,,,HQ435718,,,,HQ435732
Anura,Brachycephalidae,Brachycephalinae,Brachycephalus atelopoide,0,,,,,,,,,,,,,,,
