"","X12S","X16S","AMEL","BDNF","BMP2","CMOS","COI","CYTB","ND1","ND2","ND4","NT3","PDC","PRLR","R35","RAG1","RAG2"
"Acanthosaura_capra","","","","","","","","AY572881","AF128498","AF128498","","","","","","",""
"Acanthosaura_cardamomensis","","","","","","","","","","GU817400","","","","","","",""
"Acanthosaura_coronata","","","","","","","","","","","","","","","","",""
"Acanthosaura_crucigera","AB031963","AB031980","","","","","","AY572892","","HM143889","","","","","","",""
"Acanthosaura_lepidogaster","","","","JF806003","JF806037","","","AY572928","AF128499","AF128499","","JF804531","","","JF804578","JF806187",""
"Acanthosaura_nataliae","","","","","","","","","","","","","","","","",""
"Acanthosaura_titiwangsaensis","","","","","","","","","","","","","","","","",""
"Acontias_aurantiacus","","HQ180043","","","","","HQ180070","HQ180097","","","","","","","","HQ180124",""
"Acontias_bicolor","","HQ180045","","","","","HQ180072","HQ180099","","","","","","","","HQ180126",""
"Acontias_breviceps","DQ249017","HQ180036","","","","DQ249062","DQ249076","HQ180090","","","","","","","","HQ180117",""
"Acontias_cregoi","","HQ180044","","HQ655194","","","HQ180071","HQ180098","","","","","","","","HQ180125",""
"Acontias_gariepensis","","HQ180029","","","","","HQ180056","HQ180083","AY662555","AY662555","","","","","","AY662640",""
"Acontias_gracilicauda","DQ249014","HQ180035","","","","DQ249049","AY028862","HQ180089","","","","","","","","HQ180116",""
"Acontias_jappi","","HQ180028","","","","","HQ180055","HQ180082","","","","","","","","HQ180109",""
"Acontias_kgalagadi","AY649139","HQ180026","","","","","HQ180053","HQ180080","","","","","","","","HQ180107",""
"Acontias_lineatus","DQ249007","HQ180032","","","","DQ249042","DQ249075","HQ180086","","","","","","","","HQ180113",""
"Acontias_litoralis","AY217996","AY217945","","","","AY217843","AY028868","HQ180084","","","","","","","","HQ180111",""
"Acontias_meleagris","AY169563","HQ180038","","HQ655158","GU457901","HQ655195","EU855736","FJ972224","AY662553","AY662553","AY169637","GU456026","","JN880799","HQ876348","AY662639",""
"Acontias_namaquensis","","HQ180033","","","","","HQ180060","HQ180087","","","","","","","","HQ180114",""
"Acontias_occidentalis","DQ249018","HQ180034","","","","DQ249063","DQ249077","HQ180088","","","","","","","","HQ180115",""
"Acontias_orientalis","AY683666","HQ180039","","","","DQ249051","AY028860","HQ180093","","","","","","","","HQ180120",""
"Acontias_percivali","AY217997","AY217946","","","","AY217844","AY028865","AY217792","","","","","","","","DQ249119",""
"Acontias_plumbeus","DQ249006","HQ180041","","","","DQ249040","DQ249073","HQ180095","","","","","","","","HQ180122",""
"Acontias_poecilus","","HQ180042","","","","","HQ180069","HQ180096","","","","","","","","HQ180123",""
"Acontias_richardi","","HQ180027","","","","","HQ180054","HQ180081","","","","","","","","HQ180108",""
"Acontias_rieppeli","AY649102","HQ180046","","","","DQ249039","AY028851","HQ180100","","","","","","","","HQ180127",""
"Acontias_schmitzi","","","","","","","","","","","","","","","","",""
"Acontias_tristis","DQ249012","HQ180031","","","","DQ249046","AY028867","HQ180085","","","","","","","","HQ180112",""
"Acratosaura_mentalis","AF420694","AF420726","","","","AF420842","","JX079915","","","AF420899","","","","","",""
"Acratosaura_spinosa","","","","","","","","","","","","","","","","",""
"Adercosaurus_vixadnexus","","","","","","","","","","","","","","","","",""
